player_name,19_20_salary,20_21_salary
Bismack Biyombo,"$17,000,000",$0
Clint Capela,"$16,896,552","$18,000,000"
Gorgui Dieng,"$16,229,213","$17,287,640"
Ricky Rubio,"$16,200,000","$17,000,000"
Jonas Valanciunas,"$16,000,000","$15,000,000"
Marvin Williams,"$15,948,108",$0
Brandon Knight,"$15,643,750",$0
Eric Bledsoe,"$15,625,000","$16,875,000"
Kelly Oubre,"$15,625,000","$14,375,000"
Dennis Schroeder,"$15,500,000","$15,500,000"
Ian Mahinmi,"$15,450,051",$0
James Johnson,"$15,349,400","$16,047,100"
Marcus Morris,"$15,000,000",$0
Bobby Portis,"$15,000,000","$15,750,000"
Danny Green,"$14,634,147","$15,365,853"
Rudy Gay,"$14,500,000","$14,500,000"
Cody Zeller,"$14,471,910","$15,415,730"
Eric Gordon,"$14,057,730","$16,869,267"
Mason Plumlee,"$14,041,096",$0
Michael Kidd-Gilchrist,"$13,798,478",$0
JJ Redick,"$13,486,300","$13,013,700"
Jordan Clarkson,"$13,437,500",$0
Dewayne Dedmon,"$13,333,334","$13,333,333"
Solomon Hill,"$13,290,395",$0
Justise Winslow,"$13,000,000","$13,000,000"
Thaddeus Young,"$12,900,000","$13,545,000"
Will Barton,"$12,776,786","$13,723,214"
Courtney Lee,"$12,759,670",$0
Larry Nance Jr,"$12,727,273","$11,709,091"
Kelly Olynyk,"$12,667,885","$13,598,243"
Marcus Smart,"$12,553,571","$12,946,428"
Terrence Ross,"$12,500,000","$13,500,000"
Patrick Mills,"$12,428,571","$13,285,714"
Miles Plumlee,"$12,400,000",$0
Patrick Beverley,"$12,345,680","$13,333,333"
Trevor Ariza,"$12,200,000","$12,800,000"
Dion Waiters,"$12,100,000","$12,650,000"
Brook Lopez,"$12,093,024","$12,697,675"
Jusuf Nurkic,"$12,000,000","$12,888,889"
Cory Joseph,"$12,000,000","$12,600,000"
Joe Ingles,"$11,454,546","$10,363,637"
Tony Snell,"$11,392,857","$12,178,571"
Robert Covington,"$11,301,219","$12,138,345"
Meyers Leonard,"$11,286,515",$0
Moe Harkless,"$11,011,234",$0
TJ Warren,"$10,810,000","$11,750,000"
Andre Roberson,"$10,740,740",$0
Spencer Dinwiddie,"$10,605,600","$11,454,048"
Jeremy Lamb,"$10,500,000","$10,500,000"
Dwight Powell,"$10,259,375","$11,080,125"
George Hill,"$10,133,907","$9,590,602"
Josh Richardson,"$10,116,576","$10,865,952"
Norman Powell,"$10,116,576","$10,865,952"
Tomas Satoransky,"$10,000,000","$10,000,000"
DeAndre Jordan,"$9,881,598","$10,375,678"
Zion Williamson,"$9,757,440","$10,245,480"
Markelle Fultz,"$9,745,200","$12,288,697"
John Henson,"$9,732,396",$0
Matthew Dellavedova,"$9,607,500",$0
Dante Exum,"$9,600,000","$9,600,000"
Deandre Ayton,"$9,562,920","$10,018,200"
Delon Wright,"$9,473,684","$9,000,000"
Jerami Grant,"$9,346,153","$9,346,153"
Fred VanVleet,"$9,346,153",$0
Al-Farouq Aminu,"$9,258,000","$9,720,900"
Tyus Jones,"$9,258,000","$8,817,143"
Kyle Anderson,"$9,073,050","$9,505,100"
Taj Gibson,"$9,000,000","$9,450,000"
Ja Morant,"$8,730,240","$9,166,800"
CJ Miles,"$8,730,158",$0
Lonzo Ball,"$8,719,320","$11,003,782"
E'Twaun Moore,"$8,664,928",$0
Marvin Bagley,"$8,556,120","$8,963,640"
Bogdan Bogdanovic,"$8,529,386",$0
PJ Tucker,"$8,349,039","$7,969,537"
Cristiano Felicio,"$8,156,500","$7,529,020"
Ben Simmons,"$8,113,929","$29,000,000"
Kentavious Caldwell-Pope,"$8,089,282","$8,493,746"
Thomas Bryant,"$8,000,000","$8,333,333"
Maxi Kleber,"$8,000,000","$8,250,000"
Louis Williams,"$8,000,000","$8,000,000"
Wayne Ellington,"$8,000,000","$8,000,000"
Elfrid Payton,"$8,000,000","$8,000,000"
RJ Barrett,"$7,839,960","$8,231,760"
Jayson Tatum,"$7,830,000","$9,897,120"
Jae Crowder,"$7,815,533",$0
Luka Doncic,"$7,683,360","$8,049,360"
Joe Harris,"$7,666,667",$0
Pau Gasol,"$7,639,609",$0
Seth Curry,"$7,461,380","$7,834,449"
Doug McDermott,"$7,333,333","$7,333,333"
Langston Galloway,"$7,333,333",$0
Derrick Rose,"$7,317,074","$7,682,926"
Brandon Ingram,"$7,265,485","$9,481,458"
Darius Miller,"$7,250,000","$7,000,000"
DJ Augustin,"$7,250,000",$0
De'Andre Hunter,"$7,068,360","$7,422,000"
Josh Jackson,"$7,059,480",$0
